,PageCount,INTcount,EXTcount,URLfragments,timestamp
0,1,68,100,17,['2021-11-13T15:04:47Z']
1,2,27,9,2,['None']
2,3,27,9,2,['None']
3,4,27,9,2,['None']
4,5,27,9,2,['None']
5,6,27,9,2,['None']
6,7,27,9,2,['None']
7,8,27,9,2,['None']
8,9,27,9,2,['None']
9,10,27,9,2,['None']
10,11,27,9,2,['None']
11,12,23,7,2,['None']
12,13,27,9,2,['None']
13,14,27,9,2,['None']
14,15,27,9,2,['None']
15,16,27,9,2,['None']
16,17,27,9,2,['None']
17,18,23,7,2,['None']
18,19,27,9,2,['None']
19,20,27,9,2,['None']
20,21,27,9,2,['None']
21,22,27,9,2,['None']
22,23,27,9,2,['None']
23,24,23,7,2,['None']
24,25,27,9,2,['None']
25,26,27,9,2,['None']
26,27,23,7,2,['None']
27,28,27,9,2,['None']
28,29,27,9,2,['None']
29,30,27,9,2,['None']
30,31,27,9,2,['None']
31,32,27,9,2,['None']
32,33,27,9,2,['None']
33,34,27,9,2,['None']
34,35,27,9,2,['None']
35,36,27,9,2,['None']
36,37,27,9,2,['None']
37,38,27,9,2,['None']
38,39,27,9,2,['None']
39,40,27,9,2,['None']
40,41,27,9,2,['None']
41,42,23,7,2,['None']
42,43,28,8,2,['None']
43,44,27,9,2,['None']
44,45,27,9,2,['None']
45,46,27,9,2,['None']
46,47,27,9,2,['None']
47,48,27,9,2,['None']
48,49,27,9,2,['None']
49,50,27,9,2,['None']
50,51,27,9,2,['None']
51,52,27,9,2,['None']
52,53,27,9,2,['None']
53,54,27,9,2,['None']
54,55,27,9,2,['None']
55,56,27,9,2,['None']
56,57,27,9,2,['None']
57,58,73,100,17,['2021-11-13T15:04:47Z']
58,59,29,10,2,['None']
59,60,27,9,2,['None']
60,61,27,9,2,['None']
61,62,24,7,2,['None']
62,63,27,9,2,['None']
63,64,27,9,2,['None']
64,65,27,9,2,['None']
65,66,27,9,2,['None']
66,67,27,9,2,['None']
67,68,27,9,2,['None']
68,69,16,8,1,['None']
69,70,27,9,2,['None']
70,71,27,9,2,['None']
71,72,27,9,2,['None']
72,73,27,9,2,['None']
73,74,27,9,2,['None']
74,75,27,9,2,['None']
75,76,25,8,2,['None']
76,77,25,8,2,['None']
77,78,27,9,2,['None']
78,79,23,7,2,['None']
79,80,27,9,2,['None']
80,81,27,9,2,['None']
81,82,27,9,2,['None']
82,83,27,9,2,['None']
83,84,27,9,2,['None']
84,85,27,9,2,['None']
85,86,27,9,2,['None']
86,87,27,9,2,['None']
87,88,27,9,2,['None']
88,89,27,9,2,['None']
89,90,27,9,2,['None']
90,91,27,9,2,['None']
91,92,27,9,2,['None']
92,93,29,10,2,['None']
93,94,27,9,2,['None']
94,95,27,9,2,['None']
95,96,16,8,1,['None']
96,97,27,9,2,['None']
97,98,27,9,2,['None']
98,99,27,9,2,['None']
99,100,27,9,2,['None']
100,101,27,9,2,['None']
101,102,27,9,2,['None']
102,103,25,8,2,['None']
103,104,25,8,2,['None']
104,105,27,9,2,['None']
105,106,23,7,2,['None']
106,107,27,9,2,['None']
107,108,27,9,2,['None']
108,109,27,9,2,['None']
109,110,27,9,2,['None']
110,111,27,9,2,['None']
111,112,27,9,2,['None']
112,113,27,9,2,['None']
113,114,27,9,2,['None']
114,115,27,9,2,['None']
115,116,27,9,2,['None']
116,117,27,9,2,['None']
117,118,27,9,2,['None']
118,119,27,9,2,['None']
119,120,29,10,2,['None']
120,121,27,9,2,['None']
121,122,27,9,2,['None']
122,123,16,8,1,['None']
123,124,27,9,2,['None']
124,125,27,9,2,['None']
125,126,27,9,2,['None']
126,127,27,9,2,['None']
127,128,27,9,2,['None']
128,129,27,9,2,['None']
129,130,25,8,2,['None']
130,131,25,8,2,['None']
131,132,27,9,2,['None']
132,133,23,7,2,['None']
133,134,27,9,2,['None']
134,135,27,9,2,['None']
135,136,27,9,2,['None']
136,137,27,9,2,['None']
137,138,27,9,2,['None']
138,139,27,9,2,['None']
139,140,27,9,2,['None']
140,141,27,9,2,['None']
141,142,27,9,2,['None']
142,143,27,9,2,['None']
143,144,27,9,2,['None']
144,145,27,9,2,['None']
145,146,27,9,2,['None']
146,147,29,10,2,['None']
147,148,27,9,2,['None']
148,149,27,9,2,['None']
149,150,16,8,1,['None']
150,151,27,9,2,['None']
151,152,27,9,2,['None']
152,153,27,9,2,['None']
153,154,27,9,2,['None']
154,155,27,9,2,['None']
155,156,27,9,2,['None']
156,157,25,8,2,['None']
157,158,25,8,2,['None']
158,159,27,9,2,['None']
159,160,23,7,2,['None']
160,161,27,9,2,['None']
161,162,27,9,2,['None']
162,163,27,9,2,['None']
163,164,27,9,2,['None']
164,165,27,9,2,['None']
165,166,27,9,2,['None']
166,167,27,9,2,['None']
167,168,27,9,2,['None']
168,169,27,9,2,['None']
169,170,27,9,2,['None']
170,171,27,9,2,['None']
171,172,27,9,2,['None']
172,173,27,9,2,['None']
173,174,29,10,2,['None']
174,175,27,9,2,['None']
175,176,27,9,2,['None']
176,177,16,8,1,['None']
177,178,27,9,2,['None']
178,179,27,9,2,['None']
179,180,27,9,2,['None']
180,181,27,9,2,['None']
181,182,27,9,2,['None']
182,183,27,9,2,['None']
183,184,25,8,2,['None']
184,185,25,8,2,['None']
185,186,27,9,2,['None']
186,187,23,7,2,['None']
187,188,27,9,2,['None']
